numero,id_voie,lon,lat,appartement,valeur_locative
29,29082_dxjgo5,-4.018527,48.744809,1,0
30,29082_dxjgo5,-4.017408,48.745075,1,0
32,29082_dxjgo5,-4.017655,48.745032,1,0
34,29082_dxjgo5,-4.018053,48.744923,1,0
36,29082_dxjgo5,-4.018153,48.744888,1,0
38,29082_dxjgo5,-4.018236,48.744855,1,0
42,29082_dxjgo5,-4.01844,48.74513,1,0
1,29082_cyw4iw,-4.016708,48.746465,1,0
4,29082_cyw4iw,-4.016226,48.746604,1,0
6,29082_cyw4iw,-4.016018,48.746721,1,0
8,29082_cyw4iw,-4.015625,48.746781,1,0
12,29082_cyw4iw,-4.016372,48.747472,1,0
14,29082_cyw4iw,-4.016509,48.747564,1,0
1,29082_b100,-4.005959,48.742253,1,0
3,29082_b100,-4.00575,48.742281,1,0
6,29082_b100,-4.005427,48.742265,1,0
8,29082_b100,-4.005212,48.742413,1,0
9,29082_b100,-4.00559,48.742586,1,0
11,29082_b100,-4.005472,48.742594,1,0
12,29082_b100,-4.004842,48.742534,1,0
13,29082_b100,-4.005262,48.742674,1,0
14,29082_b100,-4.004502,48.742633,1,0
15,29082_b100,-4.005187,48.742643,1,0
16,29082_b100,-4.003996,48.742543,1,0
17,29082_b100,-4.005014,48.742768,1,0
20,29082_b100,-4.004472,48.742698,1,0
21,29082_b100,-4.00439,48.742834,1,0
22,29082_b100,-4.004102,48.742795,1,0
23,29082_b100,-4.004062,48.742925,1,0
24,29082_b100,-4.003833,48.742891,1,0
25,29082_b100,-4.003871,48.742953,1,0
1,29082_nu9prn,-4.019028,48.742649,1,0
2,29082_nu9prn,-4.019392,48.742792,1,0
3,29082_nu9prn,-4.019305,48.74255,1,0
4,29082_nu9prn,-4.019629,48.742803,1,0
5,29082_nu9prn,-4.019463,48.74235,1,0
6,29082_nu9prn,-4.019468,48.742517,1,0
7,29082_nu9prn,-4.019466,48.742319,1,0
8,29082_nu9prn,-4.019754,48.742428,1,0
9,29082_nu9prn,-4.019706,48.742176,1,0
12,29082_nu9prn,-4.0205,48.74268,1,0
14,29082_nu9prn,-4.020585,48.74261,1,0
15,29082_nu9prn,-4.020592,48.742345,1,0
16,29082_nu9prn,-4.02091,48.742382,1,0
17,29082_nu9prn,-4.020964,48.742288,1,0
19,29082_nu9prn,-4.02146,48.74215,1,0
20,29082_nu9prn,-4.021794,48.742366,1,0
22,29082_nu9prn,-4.022061,48.742424,1,0
23,29082_nu9prn,-4.02197,48.741747,1,0
24,29082_nu9prn,-4.021881,48.742328,1,0
25,29082_nu9prn,-4.022267,48.74197,1,0
26,29082_nu9prn,-4.021846,48.742112,1,0
28,29082_nu9prn,-4.022039,48.742045,1,0
29,29082_nu9prn,-4.022705,48.741944,1,0
30,29082_nu9prn,-4.022493,48.742,1,0
31,29082_nu9prn,-4.023168,48.74195,1,0
32,29082_nu9prn,-4.023028,48.741993,1,0
41,29082_nu9prn,-4.021871,48.740806,1,0
4,29082_rjtnbi,-4.009151,48.744049,1,0
5,29082_rjtnbi,-4.009861,48.7441,1,0
6,29082_rjtnbi,-4.009307,48.744099,1,0
7,29082_rjtnbi,-4.010063,48.74422,1,0
9,29082_rjtnbi,-4.010342,48.744285,1,0
10,29082_rjtnbi,-4.00938,48.744409,1,0
11,29082_rjtnbi,-4.010379,48.74437,1,0
12,29082_rjtnbi,-4.009461,48.744623,1,0
13,29082_rjtnbi,-4.010267,48.744345,1,0
14,29082_rjtnbi,-4.009481,48.744762,1,0
15,29082_rjtnbi,-4.010019,48.74451,1,0
16,29082_rjtnbi,-4.009442,48.745012,1,0
17,29082_rjtnbi,-4.009782,48.744452,1,0
19,29082_rjtnbi,-4.00963,48.744604,1,0
23,29082_rjtnbi,-4.009557,48.744856,1,0
25,29082_rjtnbi,-4.009502,48.74509,1,0
29,29082_rjtnbi,-4.009448,48.745327,1,0
33,29082_rjtnbi,-4.009054,48.745684,1,0
4,29082_mqk6o8,-4.007814,48.740721,1,0
10,29082_mqk6o8,-4.006866,48.741235,1,0
12,29082_mqk6o8,-4.006945,48.741303,1,0
14,29082_mqk6o8,-4.00712,48.741486,1,0
16,29082_mqk6o8,-4.007172,48.741552,1,0
18,29082_mqk6o8,-4.007225,48.741586,1,0
20,29082_mqk6o8,-4.007288,48.741643,1,0
22,29082_mqk6o8,-4.00731,48.741717,1,0
24,29082_mqk6o8,-4.007459,48.741856,4,0
26,29082_mqk6o8,-4.007602,48.741987,1,0
28,29082_mqk6o8,-4.007424,48.742081,1,0
30,29082_mqk6o8,-4.00769,48.742096,2,0
32,29082_mqk6o8,-4.007805,48.74219,1,0
34,29082_mqk6o8,-4.007796,48.742227,1,0
36,29082_mqk6o8,-4.00791,48.742325,1,0
38,29082_mqk6o8,-4.007967,48.742377,1,0
40,29082_mqk6o8,-4.008231,48.742604,1,0
44,29082_mqk6o8,-4.008413,48.742735,1,0
46,29082_mqk6o8,-4.008536,48.742839,1,0
48,29082_mqk6o8,-4.00862,48.742902,1,0
52,29082_mqk6o8,-4.008806,48.743124,1,0
54,29082_mqk6o8,-4.009019,48.74322,1,0
55,29082_mqk6o8,-4.009216,48.743357,1,0
56,29082_mqk6o8,-4.009116,48.74333,1,0
1,29082_fzqks9,-4.027581,48.744991,1,0
2,29082_fzqks9,-4.027458,48.745009,4,0
3,29082_fzqks9,-4.027244,48.745049,1,0
4,29082_fzqks9,-4.027167,48.745081,4,0
5,29082_fzqks9,-4.027459,48.745252,1,0
6,29082_fzqks9,-4.027555,48.74523,2,0
7,29082_fzqks9,-4.027677,48.745189,1,0
11,29082_fzqks9,-4.027304,48.745401,1,0
12,29082_fzqks9,-4.026841,48.74564,1,0
13,29082_fzqks9,-4.026721,48.745139,1,0
14,29082_fzqks9,-4.025951,48.745026,1,0
16,29082_fzqks9,-4.026405,48.74504,6,0
18,29082_fzqks9,-4.026758,48.745039,1,0
20,29082_fzqks9,-4.027196,48.744886,1,0
22,29082_fzqks9,-4.027405,48.744858,4,0
2,29082_6d0stu,-4.008758,48.743847,1,0
3,29082_6d0stu,-4.008415,48.743814,1,0
4,29082_6d0stu,-4.008864,48.743622,1,0
5,29082_6d0stu,-4.008142,48.743726,4,0
6,29082_6d0stu,-4.008201,48.743651,1,0
7,29082_6d0stu,-4.007967,48.743647,1,0
8,29082_6d0stu,-4.008059,48.743599,8,0
9,29082_6d0stu,-4.007817,48.743607,1,0
11,29082_6d0stu,-4.007669,48.743544,1,0
12,29082_6d0stu,-4.007558,48.743449,1,0
13,29082_6d0stu,-4.007424,48.743475,1,0
15,29082_6d0stu,-4.00717,48.743572,1,0
17,29082_6d0stu,-4.007219,48.743425,1,0
19,29082_6d0stu,-4.006885,48.743295,1,0
21,29082_6d0stu,-4.006721,48.743121,1,0
22,29082_6d0stu,-4.006696,48.742879,1,0
23,29082_6d0stu,-4.006569,48.742946,1,0
24,29082_6d0stu,-4.006628,48.742813,1,0
25,29082_6d0stu,-4.006531,48.742857,1,0
26,29082_6d0stu,-4.006485,48.742697,1,0
27,29082_6d0stu,-4.006497,48.74283,1,0
29,29082_6d0stu,-4.006342,48.742651,1,0
30,29082_6d0stu,-4.006268,48.742504,1,0
31,29082_6d0stu,-4.006124,48.742453,1,0
